address,category,id,lat,lng,location,name,originalId,polarity,subCategory,numReviews,reviews,details
Italy,poi,17028,41.872778,12.483893,Rome,Roma Ostiense,,9,,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=17028,http://tour-pedia.org/api/getPlaceDetails?id=17028
,attraction,6816,41.755860506916,12.289234864309,Rome,Scavi Di Ostia Antica,,9,,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6816,http://tour-pedia.org/api/getPlaceDetails?id=6816
Via Sistina 69,restaurant,1382,41.905407206461,12.484502792358,Rome,InterContinental De la Ville,4bdc725dc79cc928719586e9,9,Hotel,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1382,http://tour-pedia.org/api/getPlaceDetails?id=1382
Largo Alberto Missiroli 15,restaurant,897,41.866714,12.444371,Rome,Tony,4bb0c8d3f964a520ab5c3ce3,9,Ice Cream Shop,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=897,http://tour-pedia.org/api/getPlaceDetails?id=897
Via Margutta,poi,276,41.908268750296,12.479797151104,Rome,Via Margutta,4adcdac6f964a520525321e3,8,Road,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=276,http://tour-pedia.org/api/getPlaceDetails?id=276
"Via Ottaviano, 55",restaurant,630,41.907795594192,12.457925,Rome,Caffè Castroni,4b338864f964a520691a25e3,8,Café,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=630,http://tour-pedia.org/api/getPlaceDetails?id=630
Viale Oceania 90,restaurant,131,41.828870030082,12.4616955572,Rome,Giolitti,,8,,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=131,http://tour-pedia.org/api/getPlaceDetails?id=131
"Via Giuseppe Zanardelli, 10-12, Roma, Italia",restaurant,2804,41.901074,12.472443,Rome,Zio Ciro,,8,,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2804,http://tour-pedia.org/api/getPlaceDetails?id=2804
Piazza di Montecitorio,attraction,1606,41.900779777447,12.478634119034,Rome,Piazza di Montecitorio,4bf48d5713a6b713f1395d33,8,Plaza,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1606,http://tour-pedia.org/api/getPlaceDetails?id=1606
"Via Appia Nuova, 1255",attraction,567,41.824036996203,12.567586898804,Rome,Ippodromo delle Capannelle,4adcdad1f964a5205c5621e3,8,Racetrack,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=567,http://tour-pedia.org/api/getPlaceDetails?id=567
"Rome,   Italy    Piazza Ippolito Nievo 27, Gianicolense, 00153 Rome",accommodation,1067,41.88009398555,12.466365695,Rome,Trilussa Palace Hotel Congress & Spa,,8,,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1067,http://tour-pedia.org/api/getPlaceDetails?id=1067
"Rome,   Italy    Via Villafranca 20, Central Station, 00185 Rome",accommodation,66,41.905185957238,12.505199462157,Rome,Hotel Des Artistes,,8,,10,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=66,http://tour-pedia.org/api/getPlaceDetails?id=66
"Via delle Fornaci, 15-17, Rome, Italy",restaurant,7072,41.899621,12.456182,Rome,Ristorante la Vittoria,,8,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7072,http://tour-pedia.org/api/getPlaceDetails?id=7072
"Piazza Campitelli, 18, Rome, Italy",restaurant,454,41.89346,12.479185,Rome,Vecchia Roma,,8,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=454,http://tour-pedia.org/api/getPlaceDetails?id=454
"Via Álvaro del Portillo, 200, Rome, Italy",poi,3975,41.77021,12.469712,Rome,Policlinico Campus Biomedico,,8,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3975,http://tour-pedia.org/api/getPlaceDetails?id=3975
"Via Luigi Galvani, 24, Rome, Italy",restaurant,508,41.876974,12.475054,Rome,Ketumbar,,8,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=508,http://tour-pedia.org/api/getPlaceDetails?id=508
"Via Giovanni Bettolo, 7",restaurant,1705,41.911494470114,12.4556940563,Rome,Fatamorgana,4bffe2b937850f477651973f,8,Ice Cream Shop,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1705,http://tour-pedia.org/api/getPlaceDetails?id=1705
"Via l'Aquila, 66, Rome, Italy",attraction,1254,41.890572,12.52552,Rome,Nuovo Cinema Aquila,,8,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1254,http://tour-pedia.org/api/getPlaceDetails?id=1254
"Rome,   Italy    Via Calatafimi 14 A, Central Station, 00185 Rome",accommodation,3151,41.905201,12.500049,Rome,Hotel Papa Germano,,8,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3151,http://tour-pedia.org/api/getPlaceDetails?id=3151
"Rome,   Italy    Vía Aldobrandeschi 223, Aurelio, 00163 Rome",accommodation,4836,41.87581023118,12.394608557224,Rome,Meliá Roma Aurelia Antica,,8,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4836,http://tour-pedia.org/api/getPlaceDetails?id=4836
"Via Merulana, 138, Roma, Italy",restaurant,1956,41.88769,12.504512,Rome,Merulana Cafe,,8,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1956,http://tour-pedia.org/api/getPlaceDetails?id=1956
"Rome,   Italy    Via Capo d'Africa, 54, Colosseo, 00184 Rome",accommodation,1043,41.888397060819,12.497520893812,Rome,Hotel Capo d'Africa,,8,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1043,http://tour-pedia.org/api/getPlaceDetails?id=1043
"Rome,   Italy    Via Nazionale 22, Central Station, 00184 Rome",accommodation,15,41.900813216716,12.493614256382,Rome,Hotel Artemide,,8,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15,http://tour-pedia.org/api/getPlaceDetails?id=15
"Rome,   Italy    Via Flavia 106, Area Via Veneto, 00187 Rome",accommodation,2185,41.907824595323,12.498100250959,Rome,Marcella Royal,,8,,16,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2185,http://tour-pedia.org/api/getPlaceDetails?id=2185
