name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Openbare Bibliotheek Amsterdam,poi,Amsterdam,52.375782569752,4.9077987670898,6,91,"[5, 11, 6, 8, 4, 7, 9, 7, 8, 10, 13, 3]",7.743055555555556
Rembrandtplein,attraction,Amsterdam,52.366087891053,4.8964691162109,6,60,"[3, 3, 6, 6, 4, 5, 6, 6, 6, 4, 8, 3]",2.3333333333333335
Pathé Tuschinski,attraction,Amsterdam,52.366333316476,4.8947102667014,7,58,"[4, 5, 6, 1, 4, 3, 3, 9, 4, 5, 8, 6]",4.472222222222222
Bar Italia BV,restaurant,Amsterdam,52.370411,4.892939,7,54,"[4, 2, 6, 5, 4, 3, 7, 3, 4, 6, 5, 5]",1.9166666666666667
Novotel Hotel Amsterdam City,restaurant,Amsterdam,52.334368812275,4.889087677002,6,54,"[2, 7, 2, 6, 2, 6, 6, 3, 3, 4, 8, 5]",4.083333333333333
Coco’s Outback,attraction,Amsterdam,52.365556970227,4.8957953356443,6,54,"[5, 1, 2, 5, 6, 5, 8, 5, 5, 5, 5, 2]",3.4166666666666665
Café Brecht,attraction,Amsterdam,52.359597391132,4.8902961753181,6,54,"[3, 3, 2, 2, 6, 5, 4, 7, 3, 8, 5, 6]",3.5833333333333335
Pata Negra,restaurant,Amsterdam,52.361389,4.899004,6,51,"[0, 5, 7, 3, 8, 2, 3, 5, 5, 5, 5, 3]",4.354166666666667
Pakhuis De Zwijger,restaurant,Amsterdam,52.376686424585,4.9222183227539,6,50,"[3, 3, 6, 8, 5, 3, 3, 2, 7, 3, 4, 3]",3.3055555555555567
Café van Zuylen,restaurant,Amsterdam,52.374541,4.889863,6,50,"[2, 5, 7, 8, 3, 4, 4, 6, 3, 1, 4, 3]",3.805555555555556
BuonGiorno Espressobar,restaurant,Amsterdam,52.370704,4.863158,8,49,"[5, 3, 5, 2, 6, 3, 5, 2, 3, 7, 6, 2]",2.909722222222222
Latei,restaurant,Amsterdam,52.373264,4.900284,8,49,"[3, 2, 3, 4, 6, 6, 4, 8, 6, 3, 2, 2]",3.5763888888888893
In De Wildeman,restaurant,Amsterdam,52.376184,4.895077,6,49,"[4, 3, 3, 2, 7, 3, 3, 3, 6, 8, 3, 4]",3.2430555555555554
Amsterdam Zuid,poi,Amsterdam,52.338861,4.871951,6,48,"[5, 4, 5, 5, 2, 6, 1, 6, 7, 3, 3, 1]",3.6666666666666665
Foam Photography Museum,attraction,Amsterdam,52.364019030188,4.8931494860057,6,48,"[1, 5, 6, 5, 1, 4, 3, 8, 5, 3, 4, 3]",3.6666666666666665
Cafe De Kroon,restaurant,Amsterdam,52.36642,4.896602,6,47,"[5, 2, 8, 2, 3, 3, 4, 4, 3, 5, 3, 5]",2.576388888888889
Nam Kee,restaurant,Amsterdam,52.373709,4.900277,6,47,"[6, 2, 4, 6, 3, 1, 6, 2, 7, 3, 4, 3]",3.409722222222222
Greenwoods,restaurant,Amsterdam,52.375815,4.891198,8,46,"[3, 4, 3, 5, 2, 6, 3, 5, 3, 5, 3, 4]",1.3055555555555556
Vrije University,poi,Amsterdam,52.333312,4.865802,6,45,"[5, 1, 7, 1, 1, 5, 8, 4, 4, 0, 6, 3]",6.1875
Stanislavski,restaurant,Amsterdam,52.363958,4.882401,6,45,"[1, 4, 3, 3, 4, 1, 4, 6, 5, 8, 4, 2]",3.6875
Burger Bar,restaurant,Amsterdam,52.37616,4.895525,6,45,"[1, 4, 3, 4, 1, 4, 6, 5, 5, 2, 7, 3]",3.1875
Palladium,restaurant,Amsterdam,52.36355,4.883457,7,44,"[3, 1, 3, 6, 5, 3, 6, 4, 2, 3, 6, 2]",2.7222222222222228
Burgermeester,restaurant,Amsterdam,52.354617,4.888901,7,44,"[1, 6, 3, 3, 6, 2, 2, 4, 5, 3, 5, 4]",2.388888888888889
Amsterdam Amstel,poi,Amsterdam,52.345864,4.918034,6,44,"[5, 5, 5, 5, 5, 2, 3, 4, 3, 3, 2, 2]",1.5555555555555556
Spa Zuiver,restaurant,Amsterdam,52.330828495326,4.8524594306946,6,44,"[4, 5, 3, 3, 4, 2, 4, 6, 2, 5, 3, 3]",1.388888888888889
Julia's,restaurant,Amsterdam,52.378223,4.900298,6,44,"[3, 5, 3, 3, 0, 5, 3, 3, 3, 5, 5, 6]",2.388888888888889
The Tara Irish Pub,attraction,Amsterdam,52.370288,4.892854,7,43,"[1, 3, 1, 8, 3, 3, 3, 5, 6, 4, 4, 2]",3.743055555555556
Café Kobalt,restaurant,Amsterdam,52.379520691152,4.8946995417624,6,43,"[2, 5, 0, 5, 4, 4, 3, 5, 4, 4, 6, 1]",2.9097222222222228
Firma Pekelhaaring,restaurant,Amsterdam,52.3532,4.902732,7,42,"[3, 2, 3, 4, 5, 2, 5, 3, 4, 2, 4, 5]",1.25
The Movies,restaurant,Amsterdam,52.383979065263,4.8846418470785,6,42,"[4, 5, 3, 4, 0, 2, 3, 2, 4, 6, 2, 7]",3.4166666666666665
Brouwerij 't IJ,attraction,Amsterdam,52.366638186532,4.9263060092926,6,42,"[3, 0, 4, 4, 8, 5, 3, 6, 3, 3, 2, 1]",4.25
De Bakkerswinkel,restaurant,Amsterdam,52.385806,4.874638,6,41,"[4, 1, 6, 6, 3, 1, 2, 6, 5, 4, 2, 1]",3.7430555555555554
Struik,restaurant,Amsterdam,52.372931,4.878257,6,41,"[5, 3, 2, 2, 2, 4, 3, 6, 2, 4, 4, 4]",1.576388888888889
DampKring,restaurant,Amsterdam,52.367718,4.890483,6,40,"[2, 0, 4, 5, 3, 6, 5, 3, 4, 4, 1, 3]",2.7222222222222228
Bitterzoet,attraction,Amsterdam,52.377374127826,4.8941892385483,6,40,"[2, 1, 4, 8, 5, 3, 3, 1, 2, 3, 5, 3]",3.555555555555556
De Drie Graefjes,restaurant,Amsterdam,52.374209,4.892422,8,39,"[0, 5, 4, 6, 3, 3, 3, 2, 3, 5, 2, 3]",2.3541666666666665
de koffie salon west,restaurant,Amsterdam,52.363201,4.874748,7,39,"[2, 3, 2, 3, 4, 6, 3, 3, 2, 3, 4, 4]",1.1875
Yamazato,restaurant,Amsterdam,52.34881,4.893638,7,39,"[4, 1, 5, 3, 5, 3, 2, 4, 5, 1, 2, 4]",2.0208333333333335
De Kas,restaurant,Amsterdam,52.352295,4.930351,7,39,"[5, 2, 4, 1, 6, 1, 6, 5, 3, 4, 1, 1]",3.6875
Restaurant Moeders,restaurant,Amsterdam,52.371857,4.87495,6,39,"[2, 1, 4, 1, 4, 3, 4, 7, 6, 4, 1, 2]",3.5208333333333335
Yam Yam,restaurant,Amsterdam,52.376147,4.873474,6,39,"[6, 2, 3, 4, 5, 3, 6, 4, 2, 1, 2, 1]",2.8541666666666665
Westergasfabriek,attraction,Amsterdam,52.387164550324,4.8722863197327,6,39,"[5, 6, 5, 3, 1, 0, 5, 1, 3, 4, 1, 5]",3.8541666666666665
de Biertuin,restaurant,Amsterdam,52.362325,4.924244,6,38,"[4, 1, 6, 5, 2, 3, 5, 0, 4, 3, 0, 5]",3.805555555555556
Cafe Hoppe,restaurant,Amsterdam,52.368815,4.888652,6,38,"[4, 4, 2, 4, 5, 0, 3, 4, 3, 3, 4, 2]",1.638888888888889
Bar Baarsch,restaurant,Amsterdam,52.370438,4.853553,7,37,"[4, 1, 3, 5, 3, 2, 1, 4, 5, 2, 3, 4]",1.7430555555555556
Asian Kitchen,restaurant,Amsterdam,52.366592,4.893394,6,37,"[2, 2, 4, 2, 7, 1, 1, 5, 4, 4, 3, 2]",2.9097222222222228
Fraîche,restaurant,Amsterdam,52.377883,4.879801,7,36,"[1, 1, 4, 3, 7, 2, 4, 3, 2, 1, 4, 4]",2.8333333333333335
Gary's Deli,restaurant,Amsterdam,52.366536,4.869284,7,36,"[1, 3, 4, 2, 4, 1, 6, 5, 3, 5, 0, 2]",3.1666666666666665
De Vergulde Gaper,restaurant,Amsterdam,52.378019,4.886513,7,36,"[4, 6, 4, 4, 0, 4, 1, 6, 2, 3, 2, 0]",3.8333333333333335
Gebr. Niemeijer,restaurant,Amsterdam,52.378163,4.895618,7,36,"[3, 6, 2, 1, 5, 2, 3, 3, 5, 2, 3, 1]",2.3333333333333335
Radijs Amsterdam,restaurant,Amsterdam,52.371048,4.857066,6,36,"[0, 6, 3, 1, 3, 3, 3, 4, 4, 4, 0, 5]",3.1666666666666665
Barça,restaurant,Amsterdam,52.357299,4.891795,6,36,"[5, 2, 4, 3, 3, 3, 3, 4, 1, 4, 4, 0]",1.8333333333333333
Aran Irish Pub,attraction,Amsterdam,52.362104,4.8824846675812,6,36,"[2, 2, 1, 2, 4, 5, 2, 2, 7, 5, 1, 3]",3.1666666666666665
Café Luxembourg,restaurant,Amsterdam,52.368651,4.888788,6,35,"[3, 3, 4, 2, 5, 3, 3, 3, 1, 3, 3, 2]",0.9097222222222222
Amsterdam Museum,restaurant,Amsterdam,52.370232106422,4.8909514722385,6,35,"[4, 2, 1, 0, 3, 1, 8, 3, 3, 5, 3, 2]",4.076388888888888
Sound Garden,attraction,Amsterdam,52.372891137547,4.8758102977549,6,35,"[2, 1, 5, 4, 0, 3, 4, 4, 3, 5, 2, 2]",2.243055555555556
Hotel Okura,attraction,Amsterdam,52.348560015387,4.8927837610245,6,35,"[3, 2, 5, 3, 3, 2, 1, 3, 3, 5, 2, 3]",1.2430555555555556
comfort caffe,restaurant,Amsterdam,52.364107,4.935226,8,34,"[2, 1, 5, 2, 5, 4, 1, 1, 3, 3, 5, 2]",2.3055555555555554
O'Reilly's,attraction,Amsterdam,52.3725,4.89032,8,34,"[6, 2, 2, 1, 5, 1, 3, 5, 4, 1, 3, 1]",2.9722222222222228
Badhuis,restaurant,Amsterdam,52.363505,4.93994,7,34,"[0, 1, 4, 5, 4, 5, 4, 6, 2, 1, 1, 1]",3.805555555555556
Burgermeester,restaurant,Amsterdam,52.366874,4.911984,6,34,"[2, 3, 5, 3, 3, 2, 2, 6, 1, 4, 3, 0]",2.472222222222222
De Laatste Kruimel,restaurant,Amsterdam,52.369288,4.892981,8,33,"[1, 5, 5, 2, 1, 2, 3, 5, 3, 4, 0, 2]",2.6875
NAP Amsterdam,restaurant,Amsterdam,52.352924614972,5.0033926963806,8,33,"[2, 2, 5, 1, 4, 1, 5, 6, 3, 1, 1, 2]",3.0208333333333335
La Oliva Pintxos Y Vinos,restaurant,Amsterdam,52.376642121442,4.8821705809721,7,33,"[3, 5, 1, 4, 2, 5, 3, 5, 2, 2, 1, 0]",2.6875
P. King,restaurant,Amsterdam,52.36545242227,4.8926496505737,7,33,"[2, 5, 0, 2, 1, 5, 5, 5, 3, 1, 2, 2]",3.0208333333333335
Caland Fit,poi,Amsterdam,52.354153718978,4.8077322953376,6,33,"[0, 2, 2, 0, 1, 8, 3, 2, 0, 5, 4, 6]",6.020833333333333
Grand Café Heineken Hoek,restaurant,Amsterdam,52.363898,4.883038,6,33,"[4, 4, 1, 3, 1, 5, 2, 1, 2, 3, 5, 2]",2.0208333333333335
Le Pain Quotidien - Oud Zuid,restaurant,Amsterdam,52.354648,4.871868,7,32,"[2, 3, 2, 1, 3, 1, 1, 3, 3, 4, 4, 5]",1.5555555555555556
Langendijk eetcafe,restaurant,Amsterdam,52.366864,4.925748,7,32,"[2, 4, 3, 3, 4, 0, 4, 7, 1, 2, 0, 2]",3.555555555555556
Boom Chicago,attraction,Amsterdam,52.372900590241,4.8789323458186,7,32,"[2, 1, 4, 5, 3, 1, 2, 1, 3, 8, 2, 0]",4.388888888888889
Wagamama Zuid WTC,restaurant,Amsterdam,52.339881963804,4.8730266094208,6,32,"[1, 4, 2, 5, 4, 3, 2, 1, 2, 3, 0, 5]",2.388888888888889
I Amsterdam Letters,attraction,Amsterdam,52.359144348115,4.8838062580367,6,32,"[3, 2, 2, 3, 5, 5, 3, 3, 3, 1, 1, 1]",1.7222222222222223
Vesper,attraction,Amsterdam,52.382122262704,4.8867702484131,6,32,"[4, 3, 2, 1, 4, 2, 2, 3, 5, 3, 3, 0]",1.722222222222222
Wilde Zwijnen,restaurant,Amsterdam,52.363562,4.940367,8,31,"[0, 3, 4, 2, 4, 3, 1, 4, 4, 3, 2, 1]",1.7430555555555556
REM Eiland restaurant,restaurant,Amsterdam,52.398617,4.883641,8,31,"[1, 0, 0, 1, 4, 4, 3, 3, 3, 7, 4, 1]",3.9097222222222214
Burger Bar Warmoesstraat,restaurant,Amsterdam,52.375863,4.898957,8,31,"[2, 0, 1, 2, 3, 3, 2, 7, 1, 4, 4, 2]",3.076388888888888
In de Waag,restaurant,Amsterdam,52.372808,4.900157,7,31,"[3, 3, 4, 2, 7, 2, 1, 0, 1, 1, 5, 2]",3.576388888888889
Gollem's Proeflokaal,restaurant,Amsterdam,52.362294,4.872902,6,31,"[2, 4, 3, 1, 2, 1, 2, 1, 2, 4, 5, 4]",1.7430555555555556
Le Pain Quotidien,restaurant,Amsterdam,52.351108,4.891237,6,31,"[1, 3, 4, 2, 6, 1, 4, 4, 2, 0, 1, 3]",2.743055555555556
Whisky Café L&B,attraction,Amsterdam,52.362817010862,4.8850975732641,6,31,"[4, 3, 1, 1, 2, 4, 4, 1, 4, 4, 2, 1]",1.7430555555555556
The Harbour Club,attraction,Amsterdam,52.36922113542,4.9472376619566,6,31,"[0, 2, 0, 1, 6, 2, 2, 7, 3, 4, 2, 2]",4.243055555555556
Café Nielsen,restaurant,Amsterdam,52.370369,4.883503,8,30,"[3, 5, 3, 1, 1, 0, 5, 3, 2, 2, 5, 0]",3.0833333333333335
Bagels & Beans,restaurant,Amsterdam,52.358537,4.878059,7,30,"[0, 1, 1, 1, 3, 2, 4, 2, 1, 6, 7, 2]",4.25
Envy,restaurant,Amsterdam,52.37168,4.88316,7,30,"[2, 2, 3, 3, 2, 4, 0, 3, 5, 2, 3, 1]",1.5833333333333333
Bar Moustache,restaurant,Amsterdam,52.361357687717,4.8994195461273,7,30,"[3, 2, 3, 3, 0, 1, 2, 3, 2, 4, 7, 0]",3.25
De Ponteneur,restaurant,Amsterdam,52.36329,4.93026,7,30,"[1, 1, 5, 3, 3, 6, 2, 2, 1, 3, 3, 0]",2.75
