name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Rosa del Raval Restaurant,restaurant,Barcelona,41.381892,2.168748,6,99,"[3, 9, 6, 10, 11, 9, 6, 9, 9, 10, 9, 8]",4.520833333333333
Doble Zer00 Restaurant,restaurant,Barcelona,41.387905,2.178805,7,83,"[3, 4, 8, 9, 4, 6, 9, 10, 7, 8, 8, 7]",4.576388888888888
Kibuka,restaurant,Barcelona,41.404886,2.155839,6,76,"[6, 3, 4, 7, 9, 5, 7, 8, 6, 8, 7, 6]",2.7222222222222228
Marmalade Restaurant Bar Cocktails,restaurant,Barcelona,41.380471612894,2.1672175269854,6,73,"[1, 8, 5, 6, 5, 6, 5, 9, 8, 8, 5, 7]",4.243055555555555
La Bella Napoli,restaurant,Barcelona,41.374237,2.163696,6,72,"[8, 4, 4, 6, 4, 3, 6, 6, 10, 8, 6, 7]",3.8333333333333335
La Vietnamita,restaurant,Barcelona,41.400712,2.159039,6,69,"[5, 2, 7, 4, 5, 6, 6, 7, 11, 3, 6, 7]",4.854166666666667
Icária Yelmo Cineplex,attraction,Barcelona,41.390606,2.198283,6,67,"[5, 4, 5, 6, 8, 2, 3, 7, 5, 7, 6, 9]",3.743055555555556
Lolita Taperia,restaurant,Barcelona,41.376162,2.157816,7,65,"[4, 6, 4, 2, 6, 6, 4, 5, 8, 9, 7, 4]",3.576388888888888
Maitea,restaurant,Barcelona,41.391086,2.15108,6,64,"[3, 3, 7, 4, 6, 6, 6, 3, 7, 7, 7, 5]",2.5555555555555554
Ikibana Paralelo,restaurant,Barcelona,41.375155411977,2.1585865430377,7,62,"[4, 4, 2, 3, 6, 7, 9, 6, 4, 7, 6, 4]",3.6388888888888893
Margarita Blue,restaurant,Barcelona,41.377952,2.178418,6,61,"[6, 6, 7, 10, 5, 6, 6, 3, 4, 4, 2, 2]",4.7430555555555545
Princesa 23,attraction,Barcelona,41.385267139399,2.1803422894306,6,60,"[2, 5, 5, 6, 5, 4, 5, 8, 7, 3, 7, 3]",3.0
