name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Katie's Blue Cat,restaurant,Berlin,52.493032,13.428262,7,48,"[1, 5, 3, 4, 2, 5, 6, 6, 3, 5, 3, 5]",2.3333333333333335
Watergate Club,attraction,Berlin,52.501070081113,13.445209340768,7,45,"[3, 4, 3, 4, 5, 1, 2, 4, 7, 5, 4, 3]",2.1875
Ankerklause,restaurant,Berlin,52.495804,13.420556,6,45,"[3, 2, 5, 5, 5, 4, 5, 3, 3, 6, 2, 2]",1.8541666666666667
Café Oliv,restaurant,Berlin,52.524303,13.408792,6,45,"[4, 4, 3, 5, 2, 2, 3, 7, 2, 8, 3, 2]",3.6875
Godshot,restaurant,Berlin,52.533034105757,13.422640519909,6,40,"[4, 1, 3, 4, 5, 2, 4, 3, 2, 5, 1, 6]",2.3888888888888893
Tony Roma's,restaurant,Berlin,52.507601,13.373172,6,39,"[1, 2, 5, 3, 5, 4, 4, 5, 0, 4, 3, 3]",2.3541666666666665
Belushi's,restaurant,Berlin,52.526913886909,13.410723209381,6,38,"[4, 5, 8, 3, 3, 4, 2, 1, 2, 2, 2, 2]",3.305555555555557
Barcomi's,restaurant,Berlin,52.489061,13.393362,6,37,"[3, 3, 5, 4, 3, 2, 0, 1, 5, 4, 3, 4]",2.076388888888889
Makoto,restaurant,Berlin,52.526825438563,13.407916056957,6,34,"[5, 1, 3, 3, 2, 2, 4, 2, 4, 4, 2, 2]",1.3055555555555556
Melbourne Canteen,restaurant,Berlin,52.486967,13.430861,6,34,"[0, 2, 1, 0, 4, 3, 4, 5, 7, 3, 3, 2]",3.8055555555555554
Goodtime Restaurant,restaurant,Berlin,52.512715,13.396959,7,33,"[3, 0, 0, 4, 3, 2, 6, 4, 1, 4, 3, 3]",2.8541666666666665
Musashi,restaurant,Berlin,52.495128,13.421003,7,33,"[1, 1, 5, 1, 6, 3, 5, 4, 2, 3, 1, 1]",3.1875
Omoni,restaurant,Berlin,52.54906,13.409245,7,32,"[4, 3, 2, 2, 1, 3, 1, 5, 1, 4, 4, 2]",1.7222222222222223
'A Magica,restaurant,Berlin,52.547824,13.415377,6,32,"[2, 3, 0, 2, 4, 3, 2, 3, 4, 4, 5, 0]",2.2222222222222223
Hotel Concorde Berlin,restaurant,Berlin,52.502707245292,13.331705331802,8,30,"[1, 2, 1, 2, 3, 2, 6, 3, 1, 6, 0, 3]",3.25
Zula Hummus Café,restaurant,Berlin,52.5375,13.41811,7,28,"[3, 2, 2, 2, 5, 2, 4, 4, 3, 1, 0, 0]",2.2222222222222228
Ta'Cabrón Taqueria,restaurant,Berlin,52.499898,13.436986,7,28,"[2, 1, 3, 2, 1, 2, 4, 4, 1, 4, 1, 3]",1.3888888888888886
Miss Saigon,restaurant,Berlin,52.498815,13.426546,6,28,"[0, 1, 2, 3, 6, 0, 3, 6, 3, 1, 1, 2]",3.7222222222222228
Salut,restaurant,Berlin,52.500588,13.441854,6,28,"[1, 0, 1, 5, 4, 3, 2, 2, 2, 4, 2, 2]",1.888888888888889
Max und Moritz,restaurant,Berlin,52.502646,13.414026,7,27,"[2, 4, 0, 3, 1, 0, 3, 3, 4, 3, 2, 2]",1.6875
Sauvage Berlin,restaurant,Berlin,52.48996,13.433356,7,27,"[0, 3, 3, 2, 0, 2, 1, 7, 1, 3, 4, 1]",3.5208333333333335
westberlin coffeebar&mediashop,restaurant,Berlin,52.505581,13.390543,6,27,"[1, 0, 1, 2, 1, 1, 4, 3, 4, 7, 1, 2]",3.5208333333333335
Cuccuma Espresso & Focaccia,restaurant,Berlin,52.490624514601,13.394140687878,6,27,"[2, 2, 2, 2, 3, 4, 1, 2, 5, 2, 0, 2]",1.5208333333333333
Nil - Sudanesischer Imbiss,restaurant,Berlin,52.51197,13.455567,6,26,"[2, 3, 2, 3, 1, 2, 2, 3, 2, 3, 2, 1]",0.47222222222222215
Coa - asian feelgoodfood,restaurant,Berlin,52.509836031081,13.376123981018,6,26,"[2, 5, 4, 2, 2, 0, 1, 3, 2, 2, 3, 0]",1.972222222222222
MORE,restaurant,Berlin,52.497799000426,13.347702026367,8,25,"[0, 4, 1, 2, 3, 3, 2, 3, 1, 2, 3, 1]",1.2430555555555554
Good Morning Vietnam - Restaurant & Bar,restaurant,Berlin,52.528344,13.409295,7,25,"[4, 2, 1, 1, 1, 2, 3, 4, 1, 3, 2, 1]",1.2430555555555556
La Pausa,restaurant,Berlin,52.529715,13.400586,8,24,"[3, 1, 2, 0, 4, 2, 1, 3, 4, 3, 0, 1]",1.8333333333333333
VOX Restaurant,restaurant,Berlin,52.50813,13.37281,6,24,"[0, 3, 3, 3, 0, 2, 3, 3, 3, 1, 2, 1]",1.3333333333333333
Wendel,restaurant,Berlin,52.500555,13.443443,6,24,"[0, 3, 3, 2, 2, 0, 5, 2, 1, 3, 1, 2]",1.8333333333333333
Lon-Men's Noodle House,restaurant,Berlin,52.50629,13.31653,6,24,"[0, 1, 1, 3, 3, 2, 1, 3, 3, 3, 4, 0]",1.6666666666666667
Burrito Baby,restaurant,Berlin,52.491337,13.4283,6,24,"[2, 1, 3, 2, 1, 0, 1, 0, 7, 3, 3, 1]",3.3333333333333335
Oslo Kaffebar,restaurant,Berlin,52.530803986958,13.387076854706,7,23,"[0, 0, 1, 1, 2, 3, 6, 3, 5, 1, 1, 0]",3.576388888888889
HERMAN,attraction,Berlin,52.532274099973,13.412252668476,7,23,"[1, 1, 3, 2, 0, 3, 5, 3, 1, 1, 1, 2]",1.7430555555555554
Schwarze Pumpe,restaurant,Berlin,52.532463,13.406197,6,23,"[2, 3, 3, 1, 2, 1, 1, 0, 3, 4, 3, 0]",1.5763888888888886
Weltrestaurant Markthalle,restaurant,Berlin,52.502349,13.430945,6,23,"[2, 1, 1, 3, 1, 2, 2, 2, 3, 1, 4, 1]",0.9097222222222222
Café Slörm,restaurant,Berlin,52.539953,13.420754,6,23,"[1, 0, 0, 2, 1, 0, 4, 3, 2, 5, 3, 2]",2.409722222222222
Napoljonska,restaurant,Berlin,52.534849,13.405689,6,23,"[1, 0, 1, 2, 4, 4, 2, 4, 0, 2, 3, 0]",2.243055555555555
Becketts Kopf,attraction,Berlin,52.545408367184,13.41698884964,6,23,"[2, 2, 1, 2, 1, 1, 2, 2, 3, 3, 4, 0]",1.0763888888888886
Amano Bar,attraction,Berlin,52.528154056889,13.402858972549,7,22,"[1, 5, 2, 3, 2, 1, 2, 3, 1, 0, 0, 2]",1.8055555555555556
Tres Cabezas,restaurant,Berlin,52.507056,13.46869,6,22,"[0, 0, 1, 3, 4, 1, 2, 1, 2, 4, 4, 0]",2.305555555555556
La Bonne Franquette,restaurant,Berlin,52.53096,13.38191,6,22,"[0, 4, 0, 4, 1, 2, 0, 0, 4, 2, 2, 3]",2.4722222222222228
Cocktailbar Reingold,attraction,Berlin,52.528817652004,13.38778697917,6,22,"[2, 2, 3, 1, 3, 5, 0, 2, 1, 1, 1, 1]",1.6388888888888884
Bis Yarok,restaurant,Berlin,52.52833681582,13.39207649231,8,21,"[1, 1, 1, 3, 1, 1, 2, 4, 2, 1, 2, 2]",0.8541666666666666
Lavanderia Vecchia,restaurant,Berlin,52.481447,13.426392,6,21,"[0, 0, 1, 1, 4, 4, 2, 2, 2, 2, 2, 1]",1.5208333333333333
Cookies,attraction,Berlin,52.516566893821,13.388600349426,6,21,"[2, 1, 1, 0, 0, 4, 0, 4, 4, 2, 2, 1]",2.1875
John Muir,attraction,Berlin,52.49970988086,13.433983585029,6,21,"[2, 1, 2, 1, 3, 3, 0, 3, 1, 3, 1, 1]",1.0208333333333333
Fat Tire Bike Tours,poi,Berlin,52.52121598071,13.4090546905,8,20,"[0, 0, 1, 0, 4, 1, 4, 3, 2, 2, 2, 1]",1.8888888888888884
Bar Buck & Breck,attraction,Berlin,52.532123540453,13.399037113972,8,20,"[2, 2, 1, 2, 0, 0, 3, 3, 1, 4, 0, 2]",1.5555555555555554
Lufthansa Senator Lounge,poi,Berlin,52.553948087961,13.291978580459,6,20,"[2, 0, 2, 1, 0, 2, 0, 1, 5, 3, 1, 3]",2.0555555555555554
Impala-Coffee,restaurant,Berlin,52.532365,13.412165,6,20,"[4, 0, 2, 4, 1, 2, 3, 0, 2, 0, 1, 1]",1.8888888888888884
Stasi-Museum Berlin,attraction,Berlin,52.514600241736,13.48663856204,6,20,"[1, 0, 0, 3, 1, 2, 2, 2, 2, 4, 2, 1]",1.222222222222222
Chapter One,restaurant,Berlin,52.489789,13.395858,7,19,"[0, 0, 0, 2, 1, 1, 3, 4, 4, 3, 1, 0]",2.2430555555555554
Hoai Nam,restaurant,Berlin,52.499427,13.427823,6,19,"[0, 2, 1, 1, 2, 1, 0, 2, 6, 2, 2, 0]",2.409722222222222
Ousies,restaurant,Berlin,52.490008,13.353579,6,19,"[0, 1, 0, 0, 1, 4, 3, 3, 2, 4, 1, 0]",2.243055555555556
Aroma Espresso Bar Berlin,restaurant,Berlin,52.509007,13.389983,6,19,"[0, 1, 1, 2, 4, 1, 1, 2, 1, 2, 1, 3]",1.076388888888889
Heno-Heno へのへの,restaurant,Berlin,52.506800718504,13.303616563107,6,19,"[3, 2, 3, 0, 1, 0, 2, 5, 2, 1, 0, 0]",2.2430555555555554
Roses,attraction,Berlin,52.500625,13.421753,6,19,"[0, 2, 0, 2, 3, 1, 1, 2, 2, 1, 2, 3]",0.9097222222222222
Cube,restaurant,Berlin,52.490823,13.39391,7,18,"[1, 1, 0, 3, 1, 0, 2, 1, 3, 2, 4, 0]",1.5833333333333333
Delizie D'Italia,restaurant,Berlin,52.539074,13.421408,6,18,"[0, 3, 0, 0, 1, 1, 3, 2, 3, 1, 2, 2]",1.25
Filetstück GmbH,restaurant,Berlin,52.540619,13.412521,6,18,"[1, 0, 3, 2, 1, 1, 2, 1, 2, 3, 2, 0]",0.9166666666666666
Einstein Coffee Bars,restaurant,Berlin,52.511379,13.389572,6,18,"[2, 1, 0, 4, 2, 1, 1, 2, 2, 3, 0, 0]",1.4166666666666667
ARCOTEL John F Berlin,restaurant,Berlin,52.515241519282,13.397752046585,6,18,"[1, 1, 1, 4, 2, 1, 2, 1, 2, 0, 0, 3]",1.25
St. Gaudy Café,restaurant,Berlin,52.546786665916,13.412493,6,18,"[1, 2, 3, 2, 1, 1, 3, 1, 0, 2, 1, 1]",0.75
Falafel & Falafel,restaurant,Berlin,52.499341225,13.42802,6,18,"[0, 1, 2, 0, 1, 3, 2, 3, 2, 2, 0, 2]",1.0833333333333333
Smart Deli,restaurant,Berlin,52.527871,13.386569,7,17,"[3, 0, 1, 1, 2, 0, 4, 2, 1, 1, 1, 1]",1.2430555555555554
Ruben & Carla,restaurant,Berlin,52.526342,13.388879,7,17,"[2, 3, 1, 2, 0, 1, 1, 1, 0, 2, 3, 1]",0.9097222222222222
Swissôtel Berlin,attraction,Berlin,52.503236926509,13.331714091693,7,17,"[1, 2, 1, 1, 2, 3, 1, 2, 0, 3, 1, 0]",0.9097222222222222
Der Fischladen,restaurant,Berlin,52.545977,13.412584,6,17,"[1, 1, 2, 1, 2, 1, 4, 2, 0, 2, 1, 0]",1.0763888888888888
Paglia,restaurant,Berlin,52.501162660454,13.41922044754,6,17,"[2, 6, 1, 0, 2, 1, 2, 1, 0, 1, 1, 0]",2.409722222222222
The Oscar Wilde Irish Pub,attraction,Berlin,52.525206727678,13.38747208491,6,17,"[4, 2, 2, 0, 1, 0, 0, 1, 1, 3, 2, 1]",1.409722222222222
Nathanja & Heinrich,attraction,Berlin,52.487291627418,13.436728010183,6,17,"[4, 1, 4, 0, 2, 0, 1, 2, 0, 2, 0, 1]",1.9097222222222217
Honolulu,restaurant,Berlin,52.504612119589,13.448176628808,8,16,"[0, 0, 2, 4, 2, 1, 1, 2, 0, 2, 0, 2]",1.3888888888888886
Seerose,restaurant,Berlin,52.491869,13.387548,7,16,"[0, 2, 2, 1, 1, 0, 2, 0, 4, 3, 1, 0]",1.5555555555555556
Hotel TRYP Berlin Mitte,restaurant,Berlin,52.532801119225,13.380424976349,7,16,"[2, 1, 1, 3, 1, 0, 2, 2, 1, 3, 0, 0]",1.0555555555555556
Green Door,attraction,Berlin,52.496941517114,13.35317612671,7,16,"[4, 0, 2, 1, 0, 1, 0, 4, 1, 1, 2, 0]",1.8888888888888886
PanoramaPunkt,attraction,Berlin,52.509125159139,13.375161935077,7,16,"[1, 0, 2, 3, 0, 1, 1, 2, 3, 2, 0, 1]",1.0555555555555556
Redwood Bar,attraction,Berlin,52.531595,13.394398,7,16,"[2, 0, 0, 3, 2, 0, 3, 1, 1, 3, 0, 1]",1.388888888888889
Pizzeria Pizza Nostra,restaurant,Berlin,52.541015,13.41478,6,16,"[1, 0, 2, 2, 4, 1, 2, 0, 0, 1, 2, 1]",1.2222222222222225
Baraka,restaurant,Berlin,52.499738,13.429967,6,16,"[0, 2, 1, 0, 1, 4, 2, 2, 0, 1, 1, 2]",1.222222222222222
