name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Book World By Kinokuniya مكتبة كينوكونيا,poi,Dubai,25.197417727097,55.276384949684,7,89,"[8, 5, 8, 12, 5, 6, 11, 10, 9, 7, 7, 1]",8.243055555555555
Vapiano فابيانو,restaurant,Dubai,25.196825540891,55.276980400085,6,53,"[2, 3, 4, 7, 4, 7, 4, 3, 4, 6, 5, 4]",2.243055555555556
Jumeirah Beach Park,attraction,Dubai,25.197486,55.235567,6,51,"[7, 3, 7, 3, 4, 5, 3, 3, 4, 5, 4, 3]",2.0208333333333335
La Dolce Vita & Wok Away,restaurant,Dubai,25.076425853772,55.13304233551,6,49,"[3, 6, 3, 5, 2, 4, 5, 4, 4, 8, 3, 2]",2.7430555555555554
Hakkasan,restaurant,Dubai,25.217895,55.283593,6,49,"[4, 8, 5, 3, 4, 2, 3, 3, 1, 6, 6, 4]",3.4097222222222228
Shakespeare & Co. شكسبير أند كو,restaurant,Dubai,25.193909537744,55.276273916282,6,48,"[7, 7, 6, 3, 2, 3, 3, 4, 3, 4, 2, 4]",2.8333333333333335
Madeleine Cafe & Boulangerie,restaurant,Dubai,25.195775928509,55.277504583366,6,47,"[3, 2, 4, 4, 3, 5, 2, 4, 3, 5, 9, 3]",3.243055555555556
LOUNGE Wish - (Shisha Lounge),restaurant,Dubai,25.10792616451,55.181547403336,7,44,"[4, 3, 5, 2, 6, 4, 2, 6, 3, 4, 3, 2]",1.888888888888889
Magnolia Bakery مخبز مغنوليا,restaurant,Dubai,25.196476052599,55.277581214905,6,43,"[3, 4, 2, 5, 2, 6, 6, 4, 1, 3, 5, 2]",2.576388888888889
Grosvenor House Dubai فندق جروسفنر هاوس,attraction,Dubai,25.08581266742,55.143508315086,7,41,"[4, 3, 5, 3, 4, 4, 2, 4, 3, 6, 2, 1]",1.7430555555555556
Dar El Kamar | دار القمر,restaurant,Dubai,25.071023537832,55.128538617563,6,41,"[3, 2, 4, 7, 3, 2, 1, 4, 7, 4, 2, 2]",3.409722222222222
Ravi's مطعم الراوي,restaurant,Dubai,25.233584163425,55.279040336609,6,40,"[1, 6, 5, 3, 2, 7, 2, 4, 1, 3, 3, 3]",3.2222222222222228
