name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Nordic Bakery,restaurant,London,51.511381,-0.136756,8,69,"[5, 5, 8, 5, 7, 7, 5, 7, 7, 5, 4, 4]",1.6875
Big Easy BBQ & Crabshack,restaurant,London,51.485269095452,-0.17413292149062,7,67,"[4, 8, 7, 6, 6, 7, 6, 5, 5, 4, 7, 2]",2.576388888888889
Hakkasan,restaurant,London,51.517188,-0.131664,8,65,"[5, 6, 3, 4, 6, 5, 7, 8, 7, 7, 3, 4]",2.576388888888889
Electric Diner,restaurant,London,51.515591797495,-0.20485962385568,7,62,"[6, 6, 5, 8, 5, 5, 2, 5, 7, 6, 2, 5]",2.805555555555556
Cây Tre,restaurant,London,51.526832,-0.081747,7,62,"[6, 4, 5, 6, 6, 5, 4, 9, 3, 4, 7, 3]",2.8055555555555554
Bar Boulud,restaurant,London,51.502021,-0.160308,7,62,"[1, 6, 4, 5, 6, 5, 6, 5, 5, 5, 8, 6]",2.472222222222222
TGI Friday's,restaurant,London,51.510233762094,-0.13253813427823,6,62,"[5, 6, 4, 5, 7, 2, 8, 6, 7, 3, 4, 5]",2.805555555555556
Byron,restaurant,London,51.508676,-0.223243,6,62,"[5, 4, 6, 4, 2, 5, 7, 4, 6, 6, 8, 5]",2.3055555555555554
Kopapa Cafe & Restaurant,restaurant,London,51.51354588697,-0.12715950608253,7,60,"[6, 3, 6, 7, 5, 4, 5, 4, 6, 6, 4, 4]",1.3333333333333333
The Counter Cafe,restaurant,London,51.540083,-0.021052,7,57,"[3, 6, 6, 5, 5, 7, 3, 6, 7, 2, 3, 4]",2.6875
Byron,restaurant,London,51.512014353665,-0.12069940567017,6,57,"[2, 3, 6, 7, 7, 4, 5, 4, 4, 7, 4, 4]",2.5208333333333335
CASK Pub And Kitchen,restaurant,London,51.491083526201,-0.13738676905632,7,56,"[2, 3, 5, 4, 2, 5, 6, 6, 6, 6, 7, 4]",2.555555555555556
The Diner,restaurant,London,51.54072,-0.14474,6,56,"[2, 4, 5, 6, 4, 5, 5, 5, 7, 3, 5, 5]",1.5555555555555554
Grind Coffee Bar,restaurant,London,51.543744,-0.00888,8,55,"[4, 3, 3, 6, 6, 6, 4, 6, 4, 3, 7, 3]",2.076388888888889
The Hummingbird Bakery - Notting Hill,restaurant,London,51.514055,-0.20381,8,53,"[5, 3, 4, 6, 2, 5, 4, 3, 7, 5, 4, 5]",1.7430555555555556
Dove Freehouse & Kitchen,attraction,London,51.536282,-0.061858,6,53,"[4, 4, 7, 5, 3, 6, 3, 6, 4, 3, 5, 3]",1.7430555555555556
Prince Charles Cinema,attraction,London,51.511393,-0.13021,6,52,"[4, 3, 4, 5, 4, 2, 5, 6, 4, 5, 4, 6]",1.222222222222222
The Parlour Bar,restaurant,London,51.50499,-0.018772,7,51,"[4, 5, 3, 3, 7, 3, 6, 4, 6, 4, 1, 5]",2.5208333333333335
Byron,restaurant,London,51.494792,-0.182537,8,50,"[5, 2, 5, 5, 3, 6, 2, 4, 3, 4, 4, 7]",2.138888888888889
The Providores and Tapa Room Restaurant,restaurant,London,51.518962,-0.151718,7,50,"[5, 4, 2, 2, 5, 3, 3, 4, 6, 8, 4, 4]",2.638888888888889
BA Galleries Club Lounge,poi,London,51.469514856571,-0.46061038970947,6,49,"[3, 2, 4, 7, 5, 6, 4, 1, 3, 4, 4, 6]",2.7430555555555554
The Southampton Arms,attraction,London,51.556152,-0.14612,7,48,"[4, 3, 6, 4, 4, 4, 5, 4, 3, 4, 6, 1]",1.6666666666666667
Brick Lane,poi,London,51.52129457263,-0.071775913238525,6,48,"[2, 2, 6, 5, 4, 3, 1, 5, 5, 5, 6, 4]",2.5
