name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Café Beaubourg,restaurant,Paris,48.860038,2.350902,6,57,"[7, 4, 2, 6, 7, 5, 6, 5, 5, 4, 5, 1]",3.0208333333333335
Le Tribeca,restaurant,Paris,48.856743,2.306321,7,54,"[6, 4, 6, 3, 2, 5, 7, 5, 4, 5, 5, 2]",2.25
Merci,restaurant,Paris,48.860793973154,2.367097735405,6,52,"[6, 1, 3, 5, 4, 5, 5, 6, 6, 5, 2, 4]",2.388888888888889
Canal Saint-Martin,attraction,Paris,48.871094650503,2.3655366897583,6,48,"[3, 0, 5, 6, 5, 6, 4, 4, 7, 3, 2, 3]",3.5
Les Cocottes de Christian Constant,restaurant,Paris,48.858022,2.301944,6,47,"[3, 4, 3, 4, 4, 5, 4, 4, 6, 2, 6, 2]",1.576388888888889
Palais Omnisports de Paris-Bercy,attraction,Paris,48.838678645489,2.3784756660461,6,46,"[3, 4, 3, 3, 2, 5, 2, 4, 6, 6, 5, 3]",1.8055555555555554
Cafe Charbon,restaurant,Paris,48.86583,2.377845,6,42,"[2, 5, 3, 3, 4, 4, 5, 4, 2, 4, 2, 4]",1.0833333333333333
Le Saint Régis,restaurant,Paris,48.852976,2.353678,6,42,"[4, 2, 3, 2, 5, 4, 1, 6, 2, 5, 3, 5]",2.25
Curio Parlor,attraction,Paris,48.850394342182,2.3507435796721,7,41,"[2, 5, 5, 5, 7, 1, 4, 1, 5, 3, 1, 2]",3.7430555555555554
Rex Club,attraction,Paris,48.870772968308,2.3474509088935,6,41,"[2, 4, 4, 0, 5, 3, 3, 3, 7, 6, 1, 3]",3.5763888888888893
Le China,restaurant,Paris,48.849917,2.373834,6,40,"[2, 2, 2, 5, 4, 4, 1, 5, 2, 6, 5, 2]",2.555555555555556
Le Jules Verne,restaurant,Paris,48.858071,2.294211,6,40,"[4, 5, 3, 3, 3, 3, 5, 1, 5, 3, 2, 3]",1.3888888888888886
Un Zebra a Montmartre,restaurant,Paris,48.885959,2.334802,7,39,"[3, 3, 5, 4, 5, 1, 1, 3, 5, 5, 3, 1]",2.3541666666666665
La croissanterie,restaurant,Paris,48.870819,2.346273,6,39,"[3, 5, 4, 1, 2, 4, 5, 1, 4, 3, 3, 4]",1.6875
Les Editeurs,restaurant,Paris,48.851961,2.338457,6,39,"[4, 2, 2, 7, 4, 1, 3, 4, 5, 3, 2, 2]",2.5208333333333335
Pont des Arts,attraction,Paris,48.858461116978,2.337561249733,6,39,"[1, 3, 2, 4, 2, 5, 3, 6, 7, 2, 2, 2]",3.1875
Sésame Restaurant,restaurant,Paris,48.870233695305,2.3657298088074,6,38,"[2, 5, 5, 3, 5, 4, 3, 2, 3, 2, 1, 3]",1.638888888888889
La Comete,restaurant,Paris,48.872905,2.342975,6,38,"[3, 3, 5, 2, 5, 4, 2, 1, 4, 5, 2, 2]",1.8055555555555556
La Mangerie,restaurant,Paris,48.855704,2.362802,6,38,"[1, 2, 3, 3, 5, 5, 3, 2, 2, 5, 4, 3]",1.6388888888888886
Maison de l'Iran,restaurant,Paris,48.870707,2.303566,6,37,"[5, 4, 3, 4, 4, 3, 1, 2, 2, 3, 4, 2]",1.2430555555555556
Le Club Des 5,restaurant,Paris,48.885954,2.319041,6,37,"[5, 3, 3, 1, 2, 4, 3, 2, 3, 3, 6, 2]",1.7430555555555556
La Closerie des Lilas,restaurant,Paris,48.840033,2.335992,6,37,"[5, 4, 2, 3, 3, 1, 5, 3, 4, 3, 1, 3]",1.5763888888888886
Le Batofar,attraction,Paris,48.833382225428,2.3792588710785,6,37,"[2, 1, 2, 5, 4, 3, 4, 3, 7, 2, 1, 3]",2.743055555555556
Corcoran's,attraction,Paris,48.871389028809,2.344156996193,6,37,"[5, 4, 4, 4, 1, 1, 4, 3, 4, 3, 2, 2]",1.5763888888888886
Le Baron,attraction,Paris,48.865505234638,2.299747467041,6,37,"[3, 5, 3, 7, 3, 2, 4, 1, 3, 4, 1, 1]",2.9097222222222228
Rose Bakery,restaurant,Paris,48.862013,2.363518,7,36,"[2, 1, 6, 2, 3, 5, 1, 3, 2, 6, 3, 2]",2.8333333333333335
Hôtel Du Nord,restaurant,Paris,48.873494,2.364161,7,35,"[5, 2, 6, 5, 2, 1, 1, 1, 3, 5, 2, 2]",3.0763888888888893
Dupont Café,restaurant,Paris,48.837247,2.296163,6,35,"[2, 4, 3, 3, 5, 4, 2, 2, 2, 6, 2, 0]",2.409722222222222
Cave La Bourgogne,restaurant,Paris,48.839231,2.34986,7,34,"[1, 2, 1, 1, 2, 4, 3, 3, 5, 5, 4, 3]",1.972222222222222
Germain,restaurant,Paris,48.853621,2.336586,6,34,"[3, 1, 4, 3, 6, 1, 4, 1, 5, 1, 2, 3]",2.638888888888889
Le Relais Odéon,restaurant,Paris,48.852545,2.339013,6,34,"[5, 0, 2, 2, 3, 6, 4, 4, 1, 2, 3, 2]",2.638888888888889
Le Bal Café,restaurant,Paris,48.885273,2.327311,6,34,"[2, 4, 2, 0, 3, 7, 4, 3, 3, 3, 2, 1]",2.805555555555556
Chez Paul,restaurant,Paris,48.852789,2.374393,6,34,"[2, 4, 1, 4, 3, 3, 1, 1, 3, 3, 6, 3]",1.9722222222222225
THAI AT HOME - Les Batignolles,restaurant,Paris,48.889508,2.320225,7,33,"[4, 1, 1, 2, 2, 3, 1, 5, 3, 7, 2, 2]",3.0208333333333335
142 Crêperie Contemporaine,restaurant,Paris,48.848797,2.287511,6,33,"[3, 2, 4, 0, 1, 6, 5, 3, 2, 2, 3, 2]",2.5208333333333335
Petit Palais,attraction,Paris,48.866084,2.31467,6,33,"[0, 2, 5, 3, 2, 4, 4, 4, 5, 2, 0, 2]",2.6875
Le Trianon,attraction,Paris,48.882921,2.342936,6,33,"[0, 5, 3, 5, 1, 1, 4, 1, 5, 5, 3, 0]",3.8541666666666665
Voulez-Vous,attraction,Paris,48.858529016855,2.3534346294133,6,33,"[4, 1, 2, 3, 2, 1, 6, 0, 3, 5, 4, 2]",2.8541666666666665
Sugarplum Cake Shop,restaurant,Paris,48.845324,2.349934,7,32,"[1, 3, 5, 2, 1, 6, 3, 0, 3, 4, 1, 3]",2.8888888888888893
Bar du Marché,restaurant,Paris,48.853966,2.337005,6,32,"[4, 3, 4, 3, 1, 4, 1, 2, 3, 2, 3, 2]",1.0555555555555556
Frog & Princess,restaurant,Paris,48.852292,2.334527,6,32,"[4, 0, 5, 2, 3, 2, 2, 3, 2, 4, 3, 2]",1.5555555555555554
Le Pick-Clops,restaurant,Paris,48.856777,2.357124,6,32,"[4, 1, 2, 3, 6, 1, 6, 1, 2, 2, 2, 2]",2.888888888888888
Bofinger,restaurant,Paris,48.853874,2.36811,6,32,"[3, 1, 3, 2, 1, 6, 2, 3, 2, 5, 4, 0]",2.7222222222222228
La Petite Périgourdine,restaurant,Paris,48.848836,2.347305,6,32,"[3, 2, 2, 2, 2, 3, 2, 5, 3, 3, 2, 3]",0.7222222222222222
Très Honoré,restaurant,Paris,48.867558,2.331967,6,32,"[1, 0, 1, 2, 6, 3, 4, 1, 4, 2, 4, 4]",2.888888888888889
Belushi's,restaurant,Paris,48.888467,2.379164,6,32,"[1, 1, 1, 2, 3, 3, 3, 7, 3, 4, 2, 2]",2.5555555555555554
Carnavalet Museum,attraction,Paris,48.85768,2.362752,6,32,"[3, 2, 2, 1, 0, 5, 4, 3, 3, 6, 1, 2]",2.722222222222222
Cinéma Gaumont Champs-Elysées Marignan,attraction,Paris,48.86951,2.307165,6,32,"[2, 2, 1, 1, 7, 5, 3, 0, 2, 4, 4, 1]",3.7222222222222228
Château of Vincennes,attraction,Paris,48.84287,2.43573,6,32,"[2, 4, 5, 2, 1, 5, 3, 3, 1, 4, 1, 1]",2.2222222222222228
Terminus Nord,restaurant,Paris,48.879644,2.355075,7,31,"[2, 4, 3, 3, 2, 2, 5, 1, 2, 4, 2, 1]",1.4097222222222223
La Fontaine de Mars,restaurant,Paris,48.858473,2.302575,7,31,"[2, 2, 2, 1, 4, 3, 5, 3, 1, 3, 4, 1]",1.576388888888889
La Plage Parisienne,restaurant,Paris,48.848127,2.278964,7,31,"[2, 2, 2, 4, 2, 6, 5, 3, 3, 1, 1, 0]",2.743055555555556
Brasserie Aéro,restaurant,Paris,48.857694,2.277882,6,31,"[2, 3, 3, 4, 0, 3, 2, 4, 4, 2, 4, 0]",1.9097222222222223
L'Arrosoir,restaurant,Paris,48.8461,2.37814,6,31,"[3, 3, 6, 5, 3, 2, 0, 2, 2, 2, 2, 1]",2.4097222222222223
Le Square Trousseau,restaurant,Paris,48.850176,2.37651,6,31,"[1, 2, 3, 4, 4, 0, 3, 4, 2, 2, 4, 2]",1.576388888888889
Carmen,attraction,Paris,48.882162,2.333939,6,31,"[3, 4, 2, 2, 3, 4, 3, 1, 3, 5, 1, 0]",1.9097222222222223
Café Francoeur,attraction,Paris,48.889758,2.342694,6,31,"[3, 3, 4, 2, 4, 4, 1, 2, 3, 2, 0, 3]",1.4097222222222223
Le Réservoir,attraction,Paris,48.851477,2.380415,6,31,"[3, 1, 4, 4, 5, 2, 2, 2, 2, 5, 1, 0]",2.4097222222222223
Bacardi Mojito Lab,attraction,Paris,48.855312824026,2.3755359649658,6,31,"[1, 4, 7, 2, 0, 2, 3, 3, 5, 2, 1, 1]",3.576388888888888
Café Père & fils,restaurant,Paris,48.866805,2.344335,7,30,"[1, 3, 3, 3, 1, 2, 4, 4, 3, 2, 4, 0]",1.5833333333333333
Toritcho,restaurant,Paris,48.842524,2.326075,6,30,"[1, 2, 2, 3, 3, 1, 4, 5, 2, 2, 4, 1]",1.5833333333333333
Maison Lacombe,restaurant,Paris,48.878356,2.293992,6,30,"[2, 3, 2, 3, 3, 2, 2, 4, 4, 3, 0, 2]",1.0833333333333333
La Pâtisserie des Rêves,restaurant,Paris,48.853639,2.323904,6,30,"[2, 2, 2, 2, 1, 2, 1, 5, 6, 3, 2, 2]",2.0833333333333335
Nomad's Restaurant,restaurant,Paris,48.866352,2.331424,6,30,"[3, 3, 4, 1, 4, 2, 4, 2, 1, 5, 1, 0]",2.25
Floors,restaurant,Paris,48.88644,2.347853,6,30,"[5, 6, 3, 4, 4, 1, 1, 2, 1, 1, 1, 1]",3.0833333333333335
Le Break Bio,restaurant,Paris,48.889461,2.318888,6,30,"[5, 2, 2, 2, 4, 2, 4, 4, 0, 3, 1, 1]",2.0833333333333335
