name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Said - Antica Fabbrica del Cioccolato,restaurant,Rome,41.898899504072,12.513995409011,6,40,"[4, 4, 6, 1, 5, 4, 0, 2, 3, 3, 4, 4]",2.555555555555556
Gelateria della Palma,restaurant,Rome,41.900633,12.476543,6,40,"[2, 2, 5, 3, 3, 2, 4, 6, 5, 5, 1, 2]",2.3888888888888893
075 zerosettantacinque,attraction,Rome,41.887853939288,12.483901977539,6,40,"[4, 3, 3, 3, 4, 3, 5, 2, 6, 2, 0, 5]",2.3888888888888893
Mondi,restaurant,Rome,41.937766,12.467576,7,36,"[1, 2, 1, 3, 3, 5, 3, 6, 2, 4, 3, 3]",2.0
Scholars Lounge,attraction,Rome,41.896295644244,12.48017791458,6,35,"[3, 2, 2, 3, 3, 3, 3, 3, 4, 2, 4, 3]",0.40972222222222227
Adriano,attraction,Rome,41.905958,12.469793,7,33,"[1, 2, 2, 3, 4, 3, 2, 1, 4, 6, 3, 2]",1.8541666666666667
Antico Caffe della Pace,restaurant,Rome,41.899412,12.471203,6,33,"[5, 3, 1, 2, 3, 4, 2, 1, 3, 5, 2, 2]",1.6875
La Gatta Mangiona,restaurant,Rome,41.875751,12.44774,6,33,"[3, 0, 3, 2, 4, 2, 3, 3, 4, 4, 3, 2]",1.1875
Capitoline Museums,attraction,Rome,41.893029,12.482716,6,33,"[1, 3, 6, 1, 5, 3, 2, 0, 2, 2, 4, 4]",2.8541666666666665
Caffè Palombini,restaurant,Rome,41.836593,12.467691,6,31,"[2, 1, 1, 3, 2, 5, 3, 3, 2, 3, 2, 4]",1.2430555555555558
La Pergola,restaurant,Rome,41.918831,12.446491,6,31,"[2, 2, 1, 3, 4, 3, 3, 3, 4, 4, 1, 1]",1.2430555555555556
Urbana 47,restaurant,Rome,41.895917,12.493829,6,31,"[3, 0, 3, 1, 1, 5, 4, 1, 4, 4, 2, 3]",2.2430555555555554
Ara Pacis Augustae,attraction,Rome,41.905566904667,12.475490570068,6,31,"[2, 3, 2, 1, 4, 2, 3, 2, 2, 3, 4, 3]",0.7430555555555555
Flavio al Velavevodetto,restaurant,Rome,41.876626,12.476278,6,30,"[0, 6, 3, 3, 3, 1, 3, 2, 2, 3, 3, 1]",2.0833333333333335
MparE...,restaurant,Rome,41.90997214966,12.518820816056,6,30,"[4, 3, 0, 1, 2, 2, 4, 6, 3, 1, 3, 1]",2.5833333333333335
Tiepolo,restaurant,Rome,41.924342,12.469289,6,29,"[3, 3, 2, 4, 2, 2, 2, 1, 5, 0, 2, 3]",1.576388888888889
Pastificio San Lorenzo,restaurant,Rome,41.899334,12.516279,7,28,"[3, 1, 5, 1, 0, 4, 2, 1, 3, 4, 1, 3]",2.222222222222222
Giardino degli Aranci,attraction,Rome,41.885056,12.480375,6,28,"[3, 1, 2, 1, 3, 2, 2, 6, 4, 2, 2, 0]",2.2222222222222223
