name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Centre Pompidou - Musée National d'Art Moderne,attraction,Paris,48.860592808297,2.3524475097656,6,218,"[12, 11, 17, 15, 27, 18, 26, 29, 15, 24, 10, 14]",40.47222222222222
Angelina,restaurant,Paris,48.865051,2.328415,6,154,"[9, 10, 12, 11, 10, 6, 10, 10, 20, 30, 10, 16]",38.472222222222214
Breakfast in America,restaurant,Paris,48.855516,2.361246,6,130,"[10, 12, 12, 10, 13, 11, 9, 16, 16, 9, 7, 5]",9.805555555555555
L'As Du Fallafel,restaurant,Paris,48.857366,2.359076,6,129,"[8, 11, 5, 5, 14, 14, 15, 13, 8, 19, 6, 11]",18.020833333333332
Mama Shelter,restaurant,Paris,48.859759906601,2.4027818441391,6,124,"[11, 11, 5, 7, 18, 15, 12, 10, 8, 12, 8, 7]",12.388888888888891
Kong,restaurant,Paris,48.859226,2.343194,6,110,"[7, 14, 4, 15, 9, 7, 13, 7, 9, 13, 5, 7]",12.47222222222222
Les Deux Magots,restaurant,Paris,48.853992,2.333073,6,107,"[11, 13, 16, 6, 8, 7, 12, 7, 8, 8, 6, 5]",10.243055555555555
Place des Vosges,attraction,Paris,48.855611,2.365527,7,97,"[7, 4, 6, 5, 11, 10, 9, 12, 10, 15, 7, 1]",13.576388888888888
Berthillon,restaurant,Paris,48.851695,2.35675,6,94,"[2, 5, 3, 8, 6, 12, 14, 9, 15, 12, 3, 5]",18.805555555555554
Wanderlust,attraction,Paris,48.840147420134,2.3707830905914,6,89,"[1, 0, 0, 3, 15, 8, 20, 21, 15, 4, 1, 1]",60.24305555555555
Bar La Vue,attraction,Paris,48.880013839047,2.2843837738037,7,82,"[12, 15, 10, 2, 0, 19, 3, 6, 5, 4, 4, 2]",31.638888888888886
Café Marly,restaurant,Paris,48.862795,2.336196,6,81,"[1, 5, 8, 7, 15, 4, 5, 11, 12, 8, 4, 1]",17.020833333333332
L'Atelier de Joël Robuchon,restaurant,Paris,48.856885308299,2.3274414071534,6,80,"[8, 2, 12, 13, 4, 4, 8, 2, 3, 11, 6, 7]",13.555555555555557
Café Charlot,restaurant,Paris,48.863023,2.362461,6,80,"[11, 6, 8, 9, 6, 1, 5, 9, 13, 5, 5, 2]",11.222222222222221
Pierre Hermé,restaurant,Paris,48.85151,2.332799,7,78,"[6, 1, 5, 12, 3, 5, 6, 7, 10, 10, 10, 3]",10.583333333333334
Crêperie Josselin,restaurant,Paris,48.841918,2.325565,6,68,"[2, 1, 5, 6, 4, 8, 5, 9, 10, 9, 8, 1]",9.38888888888889
Pause Café,restaurant,Paris,48.853363,2.376713,6,67,"[7, 3, 9, 8, 6, 2, 11, 5, 8, 5, 2, 1]",9.076388888888888
Tokyo Eat,restaurant,Paris,48.86461,2.296208,6,64,"[7, 3, 6, 2, 8, 2, 15, 6, 3, 6, 3, 3]",12.388888888888895
Ralph's,restaurant,Paris,48.854147,2.33066,6,61,"[3, 3, 0, 3, 8, 5, 11, 11, 5, 5, 2, 5]",10.576388888888888
Jardin d'Acclimatation,attraction,Paris,48.878278,2.264235,6,59,"[4, 10, 2, 0, 2, 4, 16, 7, 5, 2, 2, 5]",17.743055555555557
Café George V,restaurant,Paris,48.872446,2.300229,6,58,"[1, 2, 5, 9, 1, 5, 10, 7, 6, 7, 4, 1]",8.972222222222223
Le Jardin des Plantes,attraction,Paris,48.844331,2.359612,6,56,"[2, 1, 9, 4, 2, 5, 4, 15, 5, 6, 2, 1]",14.722222222222221
La Charrette Creole,restaurant,Paris,48.84272,2.330317,7,52,"[4, 2, 13, 3, 3, 5, 5, 4, 6, 0, 3, 4]",9.055555555555555
Ministère des Sports,poi,Paris,48.829239630354,2.3782051640135,6,52,"[24, 4, 3, 3, 0, 0, 10, 3, 0, 1, 0, 4]",42.55555555555555
Garden Beach,restaurant,Paris,48.836732511639,2.3750023432318,6,52,"[0, 27, 0, 0, 0, 4, 16, 0, 0, 0, 0, 5]",66.72222222222224
Caffè Vito,restaurant,Paris,48.857750242886,2.3544347454674,7,49,"[4, 3, 3, 17, 1, 3, 6, 3, 3, 4, 2, 0]",17.243055555555557
Stade Roland Garros,attraction,Paris,48.84714,2.247977,6,49,"[2, 1, 1, 0, 21, 18, 1, 2, 1, 0, 2, 0]",48.40972222222223
La Palette,restaurant,Paris,48.855398,2.336899,6,48,"[2, 2, 6, 6, 3, 1, 12, 6, 5, 1, 4, 0]",10.0
Mama Shelter Paris,attraction,Paris,48.859764322523,2.4025650336171,6,47,"[17, 2, 5, 0, 4, 0, 4, 2, 3, 0, 7, 3]",19.743055555555554
AntiCafé,restaurant,Paris,48.862592,2.3512,6,45,"[0, 0, 0, 8, 10, 2, 15, 4, 3, 2, 0, 1]",21.1875
