name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
La Beppa Fioraia,restaurant,Tuscany,43.762836,11.260976,6,38,"[0, 2, 3, 5, 3, 3, 5, 3, 4, 4, 1, 5]",2.305555555555555
Il Santo Bevitore,restaurant,Tuscany,43.769119,11.246821,7,33,"[4, 3, 2, 3, 2, 2, 5, 2, 3, 5, 1, 1]",1.6875
Volume,restaurant,Tuscany,43.768289,11.24902,6,32,"[3, 2, 3, 1, 2, 0, 3, 4, 4, 1, 6, 3]",2.388888888888889
Lucca,attraction,Tuscany,43.841893637116,10.502926927866,6,32,"[1, 2, 4, 0, 6, 2, 4, 2, 2, 3, 4, 2]",2.388888888888889
Gusta Pizza,restaurant,Tuscany,43.76646,11.24874,7,31,"[1, 3, 4, 2, 4, 2, 3, 2, 3, 3, 1, 3]",0.9097222222222222
Artemio Franchi Stadium,attraction,Tuscany,43.781074,11.282079,6,30,"[4, 1, 3, 3, 2, 2, 4, 3, 4, 1, 2, 1]",1.25
Buca Mario,restaurant,Tuscany,43.772323,11.249181,7,27,"[3, 1, 1, 2, 4, 2, 4, 1, 1, 2, 4, 2]",1.3541666666666667
Strozzi Palace,attraction,Tuscany,43.771273,11.25199,7,27,"[6, 3, 4, 3, 2, 3, 3, 0, 2, 1, 0, 0]",3.0208333333333335
UCI Cinemas,attraction,Tuscany,43.772209431885,11.189188957214,6,27,"[1, 2, 5, 4, 3, 2, 0, 4, 2, 0, 1, 3]",2.3541666666666665
Grom,restaurant,Tuscany,43.319387,11.331294,7,25,"[1, 2, 2, 3, 3, 0, 3, 3, 0, 3, 3, 2]",1.2430555555555556
Ristorante Galileo,restaurant,Tuscany,43.712946,10.405124,6,25,"[2, 0, 3, 3, 0, 4, 1, 4, 1, 3, 2, 2]",1.7430555555555554
Le Carceri Snc,restaurant,Tuscany,43.7692,11.2686,6,25,"[1, 5, 1, 3, 0, 2, 4, 2, 1, 2, 3, 1]",1.909722222222222
Osteria San Giorgio,restaurant,Tuscany,43.844897,10.50359,6,24,"[0, 1, 5, 0, 2, 1, 2, 3, 3, 3, 2, 2]",1.8333333333333333
La Casalinga,restaurant,Tuscany,43.766584,11.248387,6,24,"[1, 2, 3, 2, 2, 0, 4, 2, 2, 1, 0, 5]",2.0
Cupola del Duomo,attraction,Tuscany,43.773154588683,11.256823539734,6,24,"[1, 0, 4, 2, 4, 5, 1, 1, 0, 4, 2, 0]",3.0
Gucci Museo,attraction,Tuscany,43.769624,11.256769,8,23,"[3, 0, 3, 1, 1, 2, 0, 5, 2, 3, 1, 2]",1.9097222222222217
Osteria dè Benci,restaurant,Tuscany,43.767849,11.259396,7,23,"[2, 1, 4, 3, 2, 1, 1, 2, 4, 0, 2, 1]",1.409722222222222
Antica Osteria da Divo,restaurant,Tuscany,43.318018,11.328237,7,23,"[3, 0, 3, 1, 3, 0, 2, 1, 2, 5, 1, 2]",1.909722222222222
Hotel Terme San Giovanni,attraction,Tuscany,43.280134,11.590844,7,23,"[5, 3, 2, 2, 1, 3, 1, 0, 2, 2, 1, 1]",1.5763888888888886
Pienza,attraction,Tuscany,43.077289288673,11.67760848999,7,23,"[1, 4, 1, 4, 2, 3, 2, 1, 2, 1, 1, 1]",1.2430555555555556
Spera,restaurant,Tuscany,43.785965,11.253837,6,23,"[1, 1, 2, 3, 2, 2, 5, 2, 1, 1, 2, 1]",1.2430555555555556
The Diner,restaurant,Tuscany,43.769993,11.258624,6,23,"[1, 1, 0, 3, 3, 2, 3, 3, 4, 1, 0, 2]",1.5763888888888886
Il Pizzaiuolo,restaurant,Tuscany,43.771154,11.266248,6,23,"[1, 1, 4, 5, 1, 1, 3, 0, 3, 2, 2, 0]",2.243055555555555
Osteria De' Peccatori,restaurant,Tuscany,43.77002394101,11.257612683716,6,23,"[1, 1, 1, 1, 1, 3, 3, 5, 2, 4, 1, 0]",2.0763888888888884
Il Gatto e La Volpe,restaurant,Tuscany,43.770520507956,11.258840560913,6,22,"[3, 1, 1, 3, 4, 2, 1, 3, 2, 1, 0, 1]",1.3055555555555556
Castiglione della Pescaia,attraction,Tuscany,42.763625844822,10.881037874323,6,22,"[0, 1, 2, 0, 3, 1, 2, 5, 5, 2, 1, 0]",2.805555555555556
Battistero di San Giovanni,attraction,Tuscany,43.773030634544,11.254978179932,6,22,"[0, 0, 1, 5, 1, 0, 3, 1, 4, 4, 2, 1]",2.805555555555556
Odeon Cinehall,attraction,Tuscany,43.771026,11.25245,8,21,"[2, 3, 2, 0, 4, 0, 4, 1, 2, 1, 2, 0]",1.8541666666666667
La Griglia di Varrone,restaurant,Tuscany,43.83219,10.494382,7,21,"[1, 3, 3, 0, 1, 2, 2, 3, 1, 0, 2, 3]",1.1875
Yellow Bar,restaurant,Tuscany,43.771088,11.257824,7,21,"[0, 2, 1, 1, 2, 0, 2, 0, 2, 4, 3, 4]",1.8541666666666667
Osteria Pepò,restaurant,Tuscany,43.776603,11.254644,7,21,"[2, 1, 1, 2, 3, 0, 1, 5, 0, 4, 2, 0]",2.3541666666666665
Trattoria Pallottino,restaurant,Tuscany,43.769832,11.259982,7,21,"[1, 1, 1, 1, 1, 1, 0, 1, 2, 5, 5, 2]",2.3541666666666665
Trattoria Papei,restaurant,Tuscany,43.317084,11.332463,7,21,"[0, 2, 1, 1, 2, 1, 3, 1, 2, 4, 3, 1]",1.1875
Ristorante Pizza Man,restaurant,Tuscany,43.768084,11.311632,6,21,"[3, 2, 0, 2, 1, 4, 3, 0, 0, 2, 1, 3]",1.6875
O'Munaciello,restaurant,Tuscany,43.767716,11.24668,6,21,"[1, 1, 2, 2, 5, 1, 1, 0, 3, 3, 1, 1]",1.6875
The Space Cinema,attraction,Tuscany,43.79040562079,11.228800220244,8,20,"[1, 4, 1, 5, 2, 0, 1, 2, 0, 1, 2, 1]",2.055555555555555
Duomo di Siena,attraction,Tuscany,43.31727339148,11.328777563062,7,20,"[2, 0, 2, 2, 0, 2, 2, 4, 2, 0, 3, 1]",1.3888888888888886
Pizzeria Senzanome,restaurant,Tuscany,43.786792,11.233558,6,20,"[0, 2, 2, 3, 0, 2, 0, 2, 0, 4, 2, 3]",1.7222222222222223
I Sette Peccati Srl,restaurant,Tuscany,43.799237,11.24588,6,20,"[4, 2, 4, 2, 0, 1, 0, 0, 0, 2, 1, 4]",2.3888888888888884
Giannino in San Lorenzo,restaurant,Tuscany,43.774312,11.254834,6,20,"[1, 0, 0, 1, 1, 0, 1, 4, 4, 2, 4, 2]",2.222222222222222
Rifrullo,attraction,Tuscany,43.764144002852,11.261415481567,6,20,"[1, 4, 1, 0, 1, 2, 2, 6, 1, 2, 0, 0]",2.888888888888889
The Space Cinema,attraction,Tuscany,43.547667,10.338157,8,19,"[0, 0, 3, 4, 3, 0, 0, 1, 2, 1, 3, 2]",1.9097222222222223
Stazione Campo Di Marte,poi,Tuscany,43.777581,11.276075,7,19,"[1, 3, 2, 2, 1, 1, 1, 0, 4, 1, 2, 1]",1.076388888888889
Ottavo Nano Srl,restaurant,Tuscany,43.840575,10.515093,7,19,"[2, 2, 3, 2, 0, 2, 0, 2, 1, 2, 1, 2]",0.7430555555555557
Numero 11,restaurant,Tuscany,43.713975707215,10.403337193049,7,19,"[0, 3, 1, 3, 4, 2, 0, 3, 2, 1, 0, 0]",1.9097222222222223
Boccon del Prete,restaurant,Tuscany,43.315999,11.330212,6,19,"[2, 3, 2, 2, 1, 1, 0, 3, 1, 1, 1, 2]",0.7430555555555557
Trattoria Pizzeria Toscana,restaurant,Tuscany,43.721717306267,10.397111315559,6,19,"[0, 0, 0, 3, 3, 4, 3, 2, 2, 2, 0, 0]",2.076388888888889
Basilica di San Miniato al Monte,attraction,Tuscany,43.759448,11.264937,8,18,"[0, 2, 0, 3, 0, 2, 1, 4, 1, 4, 1, 0]",2.0833333333333335
Trattoria Da Burde,restaurant,Tuscany,43.794094,11.18584,7,18,"[0, 2, 1, 2, 3, 2, 1, 1, 1, 1, 3, 1]",0.75
Finisterrae,restaurant,Tuscany,43.769009,11.262015,7,18,"[2, 0, 1, 2, 2, 0, 4, 0, 1, 3, 2, 1]",1.4166666666666667
Michelangelo,attraction,Tuscany,43.761809,11.268318,7,18,"[0, 0, 0, 0, 3, 5, 4, 1, 2, 1, 1, 1]",2.5833333333333335
Multiplex Omnia Center,attraction,Tuscany,43.87389069194,11.06237411499,7,18,"[3, 0, 4, 4, 1, 0, 1, 1, 2, 0, 1, 1]",1.9166666666666667
La Cité Libreriacafè,attraction,Tuscany,43.769297885718,11.245679343185,7,18,"[3, 2, 1, 2, 1, 0, 0, 0, 3, 2, 3, 1]",1.25
Zoe Bar,attraction,Tuscany,43.76504473511,11.258853971958,7,18,"[0, 1, 0, 2, 2, 1, 2, 2, 5, 2, 1, 0]",1.75
Il Montino,restaurant,Tuscany,43.718063,10.401692,6,18,"[0, 3, 1, 0, 2, 1, 1, 1, 3, 1, 1, 4]",1.4166666666666667
Lo Schiaccianoci,restaurant,Tuscany,43.709384,10.400552,6,18,"[0, 0, 3, 1, 1, 2, 1, 1, 2, 3, 1, 3]",1.0833333333333333
Il Vegetariano,restaurant,Tuscany,43.780732,11.257364,6,18,"[2, 1, 0, 2, 3, 2, 0, 1, 1, 3, 1, 2]",0.9166666666666666
Nerone,restaurant,Tuscany,43.778242,11.25073,6,18,"[0, 1, 0, 0, 2, 4, 3, 1, 2, 2, 0, 3]",1.75
Brac,restaurant,Tuscany,43.767605,11.258295,6,18,"[2, 3, 2, 2, 0, 0, 1, 2, 2, 0, 3, 1]",1.0833333333333333
Piazza del Vino,restaurant,Tuscany,43.773012,11.283116,6,18,"[2, 0, 2, 0, 4, 1, 3, 3, 0, 1, 2, 0]",1.75
Green Store,attraction,Tuscany,43.77462652444,11.284246444702,6,18,"[1, 1, 2, 0, 1, 1, 2, 2, 4, 2, 1, 1]",0.9166666666666666
Autodromo Internazionale Del Mugello,attraction,Tuscany,43.99688978843,11.372008323669,6,18,"[0, 3, 0, 1, 4, 1, 3, 2, 3, 1, 0, 0]",1.9166666666666667
Montalcino,attraction,Tuscany,43.057756145389,11.489838168648,6,18,"[1, 1, 2, 2, 1, 3, 0, 2, 3, 1, 1, 1]",0.75
Montepulciano,attraction,Tuscany,43.093151927447,11.78217270593,6,18,"[1, 4, 0, 1, 3, 1, 1, 1, 3, 0, 2, 1]",1.4166666666666667
Bagno Vignoni,attraction,Tuscany,43.028198918363,11.618918670738,8,17,"[2, 2, 0, 2, 1, 0, 2, 5, 1, 1, 1, 0]",1.7430555555555554
The Lion's Fountain Irish Pub,attraction,Tuscany,43.771496,11.261326,7,17,"[0, 1, 3, 0, 1, 0, 1, 4, 1, 1, 2, 3]",1.5763888888888886
Trattoria dall'Oste,restaurant,Tuscany,43.776015,11.24685,6,17,"[0, 2, 3, 0, 2, 2, 0, 1, 2, 4, 0, 1]",1.576388888888889
Beach Club,attraction,Tuscany,43.97896,10.142105,6,17,"[0, 1, 2, 2, 0, 2, 4, 5, 1, 0, 0, 0]",2.576388888888888
Viareggio,attraction,Tuscany,43.874695029171,10.25687456131,8,16,"[0, 2, 2, 1, 3, 0, 3, 4, 1, 0, 0, 0]",1.8888888888888893
Osteria Le Logge,restaurant,Tuscany,43.31847,11.333392,7,16,"[0, 0, 0, 0, 3, 3, 0, 3, 2, 1, 3, 1]",1.722222222222222
Osteria Nonna Gina,restaurant,Tuscany,43.314598,11.327225,7,16,"[0, 1, 1, 1, 1, 2, 1, 4, 1, 3, 1, 0]",1.2222222222222223
Bar Pasticceria Buselli,restaurant,Tuscany,43.711952000392,10.422034263611,7,16,"[0, 2, 1, 1, 2, 1, 1, 2, 4, 1, 0, 1]",1.0555555555555556
Il Teatro del Sale,restaurant,Tuscany,43.771121,11.266269,7,16,"[2, 2, 2, 1, 0, 2, 1, 1, 1, 1, 1, 2]",0.38888888888888884
Caffetteria delle Oblate,restaurant,Tuscany,43.772634,11.2595,7,16,"[1, 2, 1, 2, 2, 1, 1, 1, 1, 3, 0, 1]",0.5555555555555556
RivaReno,restaurant,Tuscany,43.771426,11.261263,7,16,"[0, 1, 2, 2, 3, 2, 0, 4, 1, 1, 0, 0]",1.5555555555555556
Terme Antica Querciolaia,attraction,Tuscany,43.292485,11.607137,7,16,"[0, 4, 1, 1, 0, 3, 0, 0, 4, 1, 0, 2]",2.2222222222222223
Piazza dell'Anfiteatro,attraction,Tuscany,43.84534129343,10.506106764078,7,16,"[0, 4, 1, 1, 1, 0, 2, 1, 3, 0, 1, 2]",1.3888888888888886
Piazza della Santissima Annunziata,attraction,Tuscany,43.776462519841,11.260626912117,7,16,"[2, 0, 0, 1, 2, 0, 2, 2, 4, 2, 0, 1]",1.388888888888889
Slowly,attraction,Tuscany,43.770233850996,11.252671480179,7,16,"[1, 2, 4, 0, 1, 1, 0, 0, 2, 3, 1, 1]",1.3888888888888886
Baracchina Bianca,restaurant,Tuscany,43.530096,10.305764,6,16,"[0, 1, 0, 1, 3, 1, 2, 5, 0, 1, 2, 0]",2.055555555555556
Osteria dei Cavalieri,restaurant,Tuscany,43.718461,10.400049,6,16,"[1, 2, 0, 1, 2, 0, 1, 2, 3, 2, 1, 1]",0.7222222222222222
